id,name,category,price,mrp,rating,ratingTotal,discount,seller,purl,description
1012540,Men Solid Innerwear Vest,innerwear-vests,499,745.0,4.0,6,33,FOREVER 21,https://www.myntra.com/innerwear-vests/forever-21/forever-21-men-yellow-solid-innerwear-vest-59014403/13959806/buy,Men Solid Innerwear Vest by FOREVER 21. Price: ₹499. Rating: 4.0/5. Category: innerwear-vests
39429,Floral A-Line Dress,dresses,1399,1999.0,4.6,16,30,Marks & Spencer,https://www.myntra.com/dresses/marks--spencer/marks--spencer-pink-floral-a-line-dress/21751110/buy,Floral A-Line Dress by Marks & Spencer. Price: ₹1399. Rating: 4.6/5. Category: dresses
651834,Abstract T-Shirt Bra,bra,506,1299.0,4.9,8,61,DressBerry,https://www.myntra.com/bra/dressberry/dressberry-black--peach-coloured-abstract-t-shirt-bra/18284016/buy,Abstract T-Shirt Bra by DressBerry. Price: ₹506. Rating: 4.9/5. Category: bra
168663,AC Room 110 GSM Dohar,blankets-quilts-and-dohars,1439,3999.0,3.9,10,64,Divine Casa,https://www.myntra.com/blankets-quilts-and-dohars/divine-casa/divine-casa-white--pink-geometric-ac-room-110-gsm-double-bed-dohar/10519638/buy,AC Room 110 GSM Dohar by Divine Casa. Price: ₹1439. Rating: 3.9/5. Category: blankets-quilts-and-dohars
281999,Women HARPER Watch,watches,12995,12995.0,4.3,20,0,Armani Exchange,https://www.myntra.com/watches/armani-exchange/armani-exchange-harper-women-gold-analogue-watch-ax5602/9036987/buy,Women HARPER Watch by Armani Exchange. Price: ₹12995. Rating: 4.3/5. Category: watches
787715,Men Typography Polo Collar Applique T-shirt,tshirts,1699,1699.0,4.8,15,0,U.S. Polo Assn.,https://www.myntra.com/tshirts/us-polo-assn/u-s-polo-assn-men-white-typography-polo-collar-applique-t-shirt/15042260/buy,Men Typography Polo Collar Applique T-shirt by U.S. Polo Assn.. Price: ₹1699. Rating: 4.8/5. Category: tshirts
154440,Skin Care Gift Set,beauty-gift-set,1325,1325.0,4.4,36,0,KAMA AYURVEDA,https://www.myntra.com/beauty-gift-set/kama-ayurveda/kama-ayurveda-skin-care-gift-set/12800168/buy,Skin Care Gift Set by KAMA AYURVEDA. Price: ₹1325. Rating: 4.4/5. Category: beauty-gift-set
288866,Striped Round Neck Pure Cotton T-shirt,tshirts,269,899.0,4.2,533,70,ether,https://www.myntra.com/tshirts/ether/ether-men-white--maroon-striped-round-neck-pure-cotton-t-shirt/2026869/buy,Striped Round Neck Pure Cotton T-shirt by ether. Price: ₹269. Rating: 4.2/5. Category: tshirts
310612,Contemporary Studs Earrings,earrings,189,675.0,3.0,6,72,Yellow Chimes,https://www.myntra.com/earrings/yellow-chimes/yellow-chimes-gold-plated--white-butterfly-shaped-crystal-studded-pearl-drop-earrings/19380438/buy,Contemporary Studs Earrings by Yellow Chimes. Price: ₹189. Rating: 3.0/5. Category: earrings
25214,Backpack with Compression Straps,backpacks,2745,6100.0,4.5,108,55,Skybags,https://www.myntra.com/backpacks/skybags/skybags-black-backpack-with-compression-straps/18257866/buy,Backpack with Compression Straps by Skybags. Price: ₹2745. Rating: 4.5/5. Category: backpacks
89344,Woven Design Straight Kurta,kurtas,1499,1499.0,4.4,129,0,Cross Court,https://www.myntra.com/kurtas/cross-court/cross-court-men-burgundy-woven-design-straight-kurta/11690052/buy,Woven Design Straight Kurta by Cross Court. Price: ₹1499. Rating: 4.4/5. Category: kurtas
753459,Men Plus Size Printed T-shirt,tshirts,389,1299.0,4.4,19,70,Sztori,https://www.myntra.com/tshirts/sztori/sztori-men-plus-size-olive-green--orange-typography-printed-pure-cotton-t-shirt/18535098/buy,Men Plus Size Printed T-shirt by Sztori. Price: ₹389. Rating: 4.4/5. Category: tshirts
170491,Gold-Plated Kundan-Studded & Crystal Beaded Jewellery Set,jewellery-set,629,3495.0,3.0,48,82,Zaveri Pearls,https://www.myntra.com/jewellery-set/zaveri-pearls/zaveri-pearls-gold-plated-white--green-kundan-studded--crystal-beaded-jewellery-set/15435864/buy,Gold-Plated Kundan-Studded & Crystal Beaded Jewellery Set by Zaveri Pearls. Price: ₹629. Rating: 3.0/5. Category: jewellery-set
777424,Printed Polo Collar T-shirt,tshirts,399,999.0,3.0,3,60,MARCA Disati,https://www.myntra.com/tshirts/marca-disati/marca-disati-men-green-printed-polo-collar-t-shirt/12838708/buy,Printed Polo Collar T-shirt by MARCA Disati. Price: ₹399. Rating: 3.0/5. Category: tshirts
85617,Oopsie Daisy Body Mist,perfume-and-body-mist,472,525.0,4.2,146,10,Plum,https://www.myntra.com/perfume-and-body-mist/plum/plum-bodylovin-oopsie-daisy-body-mist---150-ml/12248276/buy,Oopsie Daisy Body Mist by Plum. Price: ₹472. Rating: 4.2/5. Category: perfume-and-body-mist
3099,Colour Excess Gel Pencil Eye Liner - Glide Or Die,kajal-and-eyeliner,2000,2000.0,4.7,43,0,M.A.C,https://www.myntra.com/kajal-and-eyeliner/mac/mac-colour-excess-waterproof-gel-pencil-eye-liner---glide-or-die/18216014/buy,Colour Excess Gel Pencil Eye Liner - Glide Or Die by M.A.C. Price: ₹2000. Rating: 4.7/5. Category: kajal-and-eyeliner
277816,Set Of 4 Striped 233 GSM Bath Towels,bath-towels,998,3329.0,4.7,6,70,KLOTTHE,https://www.myntra.com/bath-towels/klotthe/klotthe-set-of-4-striped-233-gsm-bath-towels/13891994/buy,Set Of 4 Striped 233 GSM Bath Towels by KLOTTHE. Price: ₹998. Rating: 4.7/5. Category: bath-towels
832430,Women Sweatshirt,sweatshirts,1899,1899.0,4.5,26,0,Allen Solly Woman,https://www.myntra.com/sweatshirts/allen-solly-woman/allen-solly-woman-women-navy-blue-hooded-sweatshirt/15571682/buy,Women Sweatshirt by Allen Solly Woman. Price: ₹1899. Rating: 4.5/5. Category: sweatshirts
58934,Men Joy Eau De Parfum 60 ml,perfume-and-body-mist,411,749.0,4.2,155,45,THE MAN COMPANY,https://www.myntra.com/perfume-and-body-mist/the-man-company/the-man-company-men-joy-pour-homme-eau-de-parfum-60-ml/17009444/buy,Men Joy Eau De Parfum 60 ml by THE MAN COMPANY. Price: ₹411. Rating: 4.2/5. Category: perfume-and-body-mist
33130,Women Geometric Backpack,backpacks,893,3190.0,4.4,20,72,Baggit,https://www.myntra.com/backpacks/baggit/baggit-women-geometric-textured-backpack/21239036/buy,Women Geometric Backpack by Baggit. Price: ₹893. Rating: 4.4/5. Category: backpacks
127809,Men Tapered Fit Chinos Trousers,trousers,735,1599.0,3.8,88,54,HIGHLANDER,https://www.myntra.com/trousers/highlander/highlander-men-rust-tapered-fit-chinos-trousers/16519892/buy,Men Tapered Fit Chinos Trousers by HIGHLANDER. Price: ₹735. Rating: 3.8/5. Category: trousers
187057,Bedsheet with 2 Pillow Covers,bedsheets,2183,3899.0,4.3,12,44,SWAYAM,https://www.myntra.com/bedsheets/swayam/swayam-teal-blue-210-tc-fine-cotton-double-fitted-bedsheet-with-2-pillow-covers/1474297/buy,Bedsheet with 2 Pillow Covers by SWAYAM. Price: ₹2183. Rating: 4.3/5. Category: bedsheets
318270,Set of 4 Handcrafted Bangles,bangle,352,1260.0,4.3,100,72,Priyaasi,https://www.myntra.com/bangle/priyaasi/priyaasi-set-of-4-pink-gold-plated-beaded-handcrafted-bangles/10393713/buy,Set of 4 Handcrafted Bangles by Priyaasi. Price: ₹352. Rating: 4.3/5. Category: bangle
702977,Women Solid Joggers,trousers,674,2699.0,4.3,61,75,Roadster,https://www.myntra.com/trousers/roadster/roadster-women-olive-green-solid-regular-fit-mid-rise-joggers/15441200/buy,Women Solid Joggers by Roadster. Price: ₹674. Rating: 4.3/5. Category: trousers
243705,Xxtinguish Eyeshadow 4.8 g,eyeshadow,536,975.0,3.8,12,45,XX Revolution,https://www.myntra.com/eyeshadow/xx-revolution/xx-revolution-xxtinguish-eyeshadow-palette---48-g/15092618/buy,Xxtinguish Eyeshadow 4.8 g by XX Revolution. Price: ₹536. Rating: 3.8/5. Category: eyeshadow
1042327,Printed Night suit,night-suits,759,1898.0,4.5,8,60,VIMAL JONNEY,https://www.myntra.com/night-suits/vimal-jonney/vimal-jonney-men-black--grey-printed-night-suit/13737228/buy,Printed Night suit by VIMAL JONNEY. Price: ₹759. Rating: 4.5/5. Category: night-suits
777829,Fast and Furious Graphic Pure Cotton T-shirt,tshirts,199,799.0,4.0,69,75,Roadster,https://www.myntra.com/tshirts/roadster/roadster-men-fast-and-furious-green-pure-cotton-printed-graphic-pure-cotton-t-shirt/13725596/buy,Fast and Furious Graphic Pure Cotton T-shirt by Roadster. Price: ₹199. Rating: 4.0/5. Category: tshirts
775729,Printed Nightdress,nightdress,1399,2199.0,3.2,5,800,9shines Label,https://www.myntra.com/nightdress/9shines-label/9shines-label-mint-green-printed-maxi-nightdress/17631922/buy,Printed Nightdress by 9shines Label. Price: ₹1399. Rating: 3.2/5. Category: nightdress
249255,Skin Glow Power Serum,face-serum-and-gel,719,899.0,4.4,27,20,Iba,https://www.myntra.com/face-serum-and-gel/iba/iba-advanced-activs-youth-preserve-skin-glow-power-serum-30-ml/13512212/buy,Skin Glow Power Serum by Iba. Price: ₹719. Rating: 4.4/5. Category: face-serum-and-gel
14790,Men Pack Of 3 Solid IntelliSoft Antimicrobial Basic Briefs,briefs,687,747.0,4.1,151,8,XYXX,https://www.myntra.com/briefs/xyxx/xyxx-men-pack-of-3-solid-intellisoft-antimicrobial-basic-briefs-xybrf3pckn495/13978284/buy,Men Pack Of 3 Solid IntelliSoft Antimicrobial Basic Briefs by XYXX. Price: ₹687. Rating: 4.1/5. Category: briefs
177365,Handcrafted Jewellery Set,jewellery-set,1698,4247.0,4.3,6,60,PANASH,https://www.myntra.com/jewellery-set/panash/panash-gold-plated-white-pearl-embellished-handcrafted-jewellery-set/14557516/buy,Handcrafted Jewellery Set by PANASH. Price: ₹1698. Rating: 4.3/5. Category: jewellery-set
242477,Men Accessory Gift Set,accessory-gift-set,809,1799.0,3.6,16,55,Pacific Gold,https://www.myntra.com/accessory-gift-set/pacific-gold/pacific-gold-reversible-30-belt-and-wallet-combo-gift-set-for-men/9731811/buy,Men Accessory Gift Set by Pacific Gold. Price: ₹809. Rating: 3.6/5. Category: accessory-gift-set
410789,Women Basketball Shorts,shorts,374,1499.0,4.5,15,75,HRX by Hrithik Roshan,https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-basketball-women-high-risk-red-rapid-dry-colourblock-shorts/15308880/buy,Women Basketball Shorts by HRX by Hrithik Roshan. Price: ₹374. Rating: 4.5/5. Category: shorts
40005,Oil-Free Face Moisturizer,face-moisturisers,280,319.0,4.4,601,12,Mamaearth,https://www.myntra.com/face-moisturisers/mamaearth/mamaearth-tea-tree-oil-free-face-moisturizer--for-oily-skin-with-tea-tree--salicylic-acid/16103698/buy,Oil-Free Face Moisturizer by Mamaearth. Price: ₹280. Rating: 4.4/5. Category: face-moisturisers
